,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Season
89,90,3,"""The Pulled Groin Extrapolation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Dave Goetsch,2011-09-29,3X6853,14.7,5
90,91,4,"""The Wiggly Finger Catalyst""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2011-10-06,3X6854,13.9,5
91,92,5,"""The Russian Rocket Reaction""",Mark Cendrowski,Story by : Bill Prady & Steven Molaro & Jim ReynoldsTeleplay by : Chuck Lorre & Eric Kaplan & Maria Ferrari,2011-10-13,3X6855,13.5,5
92,93,6,"""The Rhinitis Revelation""",Howard Murray,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,2011-10-20,3X6857,14.9,5
93,94,7,"""The Good Guy Fluctuation""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2011-10-27,3X6856,14.5,5
94,95,8,"""The Isolation Permutation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Tara HernandezTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2011-11-03,3X6858,15.9,5
95,96,9,"""The Ornithophobia Diffusion""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by : Bill Prady & Steven Molaro & Eric Kaplan,2011-11-10,3X6859,15.8,5
96,97,10,"""The Flaming Spittoon Acquisition""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Dave GoetschTeleplay by : Bill Prady & Jim Reynolds & Steve Holland,2011-11-17,3X6860,15.0,5
97,98,11,"""The Speckerman Recurrence""",Anthony Rich,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Anthony Del Broccolo,2011-12-08,3X6861,14.0,5
98,99,12,"""The Shiny Trinket Maneuver""",Mark Cendrowski,Story by : Chuck Lorre & Steve Holland & Tara HernandezTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,2012-01-12,3X6862,16.1,5
